Season	Location	Variety	Disease Response
"None"	"Savalou, Benin"	"S1079/6/7"	"Unknown"
"None"	"Savalou, Benin"	"Salintuya-I"	"Unknown"
"None"	"Savalou, Benin"	"SC SAXON"	"Unknown"
"None"	"Savalou, Benin"	"SC SENTINEL"	"Unknown"
"None"	"Savalou, Benin"	"SC SIGNAL"	"Unknown"
"None"	"Savalou, Benin"	"SC SPIKE"	"Unknown"
"None"	"Savalou, Benin"	"Songda"	"Unknown"
"None"	"Savalou, Benin"	"Suong-Pungun"	"Unknown"
"None"	"Savalou, Benin"	"TGX 2001-6FM"	"Unknown"
"None"	"Savalou, Benin"	"TGX 2001-8DM"	"Unknown"
"None"	"Savalou, Benin"	"TGX 2002-3DM"	"Unknown"
"None"	"Savalou, Benin"	"TGX 2014-16FM"	"Unknown"
"None"	"Savalou, Benin"	"TGX 2014-23FM"	"Unknown"
"None"	"Savalou, Benin"	"TGX 2014-5GM"	"Unknown"
"None"	"Foumbot, Cameroon"	"Afayak"	"Unknown"
"None"	"Foumbot, Cameroon"	"CLARK-63K"	"Unknown"
"None"	"Foumbot, Cameroon"	"Jenguma"	"Unknown"
"None"	"Foumbot, Cameroon"	"MAKSOY 1N"	"Unknown"
"None"	"Foumbot, Cameroon"	"MAKSOY 2N"	"Unknown"
"None"	"Foumbot, Cameroon"	"MAKSOY 3N"	"Unknown"
"None"	"Foumbot, Cameroon"	"MAKSOY 4N"	"Unknown"
"None"	"Foumbot, Cameroon"	"MAKSOY 5N"	"Unknown"
"None"	"Foumbot, Cameroon"	"Makwacha"	"Unknown"
"None"	"Foumbot, Cameroon"	"NASOKO"	"Unknown"
"None"	"Foumbot, Cameroon"	"Panorama 1"	"Unknown"
"None"	"Foumbot, Cameroon"	"Panorama 2"	"Unknown"
"None"	"Foumbot, Cameroon"	"Panorama 27 D"	"Unknown"
"None"	"Foumbot, Cameroon"	"Panorama 29 I"	"Unknown"
"None"	"Foumbot, Cameroon"	"Panorama 3"	"Unknown"
"None"	"Foumbot, Cameroon"	"Panorama 357"	"Unknown"
"None"	"Foumbot, Cameroon"	"Panorama 358"	"Unknown"
"None"	"Foumbot, Cameroon"	"Quarshie"	"Unknown"
"None"	"Foumbot, Cameroon"	"S1079/6/7"	"Unknown"
"None"	"Foumbot, Cameroon"	"S1140/5/4"	"Unknown"
"None"	"Foumbot, Cameroon"	"S1150/5/22"	"Unknown"
"None"	"Foumbot, Cameroon"	"S1179/5/58"	"Unknown"
"None"	"Foumbot, Cameroon"	"S1179/5/58"	"Unknown"
"None"	"Foumbot, Cameroon"	"S1180/5/54"	"Unknown"
"None"	"Foumbot, Cameroon"	"Salintuya-I"	"Unknown"
"None"	"Foumbot, Cameroon"	"SB 8 (DPSB 8)"	"Unknown"
"None"	"Foumbot, Cameroon"	"SC SAGA"	"Unknown"
"None"	"Foumbot, Cameroon"	"SC SENTINEL"	"Unknown"
"None"	"Foumbot, Cameroon"	"SC SIGNAL"	"Unknown"
"None"	"Foumbot, Cameroon"	"SC SPIKE"	"Unknown"
"None"	"Foumbot, Cameroon"	"SCS-1"	"Unknown"
"None"	"Foumbot, Cameroon"	"SNKGM011"	"Unknown"
"None"	"Foumbot, Cameroon"	"Songda"	"Unknown"
"None"	"Foumbot, Cameroon"	"Suong-Pungun"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 1835-10E"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 1987-62F"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 1988-18F"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 1989-60F"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 1991-22F"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 2001-10DM"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 2001-13DM"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 2001-1DM"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 2001-24DM"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 2001-3FM"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 2001-8DM"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 2002-14DM"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 2002-23DM"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 2006-3F"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 2014-19FM"	"Unknown"
"None"	"Foumbot, Cameroon"	"TGX 2014-5GM"	"Unknown"
"None"	"Foumbot, Cameroon"	"TIKOLORE"	"Unknown"
"None"	"Garoua, Cameroon"	"Afayak"	"Unknown"
"None"	"Garoua, Cameroon"	"CLARK-63K"	"Unknown"
"None"	"Garoua, Cameroon"	"Jenguma"	"Unknown"
"None"	"Garoua, Cameroon"	"MAKSOY 1N"	"Unknown"
"None"	"Garoua, Cameroon"	"MAKSOY 2N"	"Unknown"
"None"	"Garoua, Cameroon"	"MAKSOY 3N"	"Unknown"
"None"	"Garoua, Cameroon"	"MAKSOY 4N"	"Unknown"
"None"	"Garoua, Cameroon"	"MAKSOY 5N"	"Unknown"
"None"	"Garoua, Cameroon"	"Makwacha"	"Unknown"
"None"	"Garoua, Cameroon"	"NASOKO"	"Unknown"
"None"	"Garoua, Cameroon"	"Quarshie"	"Unknown"
"None"	"Garoua, Cameroon"	"S1079/6/7"	"Unknown"
"None"	"Garoua, Cameroon"	"S1140/5/4"	"Unknown"
"None"	"Garoua, Cameroon"	"S1150/5/22"	"Unknown"
"None"	"Garoua, Cameroon"	"S1179/5/58"	"Unknown"
"None"	"Garoua, Cameroon"	"Salintuya-I"	"Unknown"
"None"	"Garoua, Cameroon"	"SB 8 (DPSB 8)"	"Unknown"
"None"	"Garoua, Cameroon"	"SC SAGA"	"Unknown"
"None"	"Garoua, Cameroon"	"SC SENTINEL"	"Unknown"
"None"	"Garoua, Cameroon"	"SC SIGNAL"	"Unknown"
"None"	"Garoua, Cameroon"	"SC SPIKE"	"Unknown"
"None"	"Garoua, Cameroon"	"SCS-1"	"Unknown"
"None"	"Garoua, Cameroon"	"SNKGM011"	"Unknown"
